Rk,Squad,MP,W,D,L,GF,GA,GD,Pts
1,Arsenal,38,23,9,6,68,33,35,78
2,Manchester Utd,38,23,8,7,73,26,47,77
3,Liverpool,38,18,11,9,68,42,26,65
4,Chelsea,38,20,3,15,71,43,28,63
5,Leeds United,38,17,8,13,57,46,11,59
6,Blackburn,38,16,10,12,57,52,5,58
7,Aston Villa,38,17,6,15,49,48,1,57
8,West Ham,38,16,8,14,56,57,-1,56
9,Derby County,38,16,7,15,52,49,3,55
10,Leicester City,38,13,14,11,51,41,10,53
11,Coventry City,38,12,16,10,46,44,2,52
12,Southampton,38,14,6,18,50,55,-5,48
13,Newcastle Utd,38,11,11,16,35,44,-9,44
14,Tottenham,38,11,11,16,44,56,-12,44
15,Wimbledon,38,10,14,14,34,46,-12,44
16,Sheffield Weds,38,12,8,18,52,67,-15,44
17,Everton,38,9,13,16,41,56,-15,40
18,Bolton,38,9,13,16,41,61,-20,40
19,Barnsley,38,10,5,23,37,82,-45,35
20,Crystal Palace,38,8,9,21,37,71,-34,33
